"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Staatsangehörigkeit (Kategorie) und Alter"

"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Bevölkerungstyp";Ständige und nichtständige Wohnbevölkerung
"2016";"Schweiz";"Ständige Wohnbevölkerung";8419550
"2016";"- Zürich";"Ständige Wohnbevölkerung";1487969
"2016";">> Bezirk Affoltern";"Ständige Wohnbevölkerung";52904
"2016";"......0001 Aeugst am Albis";"Ständige Wohnbevölkerung";1977
"2016";"......0002 Affoltern am Albis";"Ständige Wohnbevölkerung";11900
"2016";"......0003 Bonstetten";"Ständige Wohnbevölkerung";5435
"2016";"......0004 Hausen am Albis";"Ständige Wohnbevölkerung";3571
"2016";"......0005 Hedingen";"Ständige Wohnbevölkerung";3687
"2016";"......0006 Kappel am Albis";"Ständige Wohnbevölkerung";1110
"2016";"......0007 Knonau";"Ständige Wohnbevölkerung";2168
"2016";"......0008 Maschwanden";"Ständige Wohnbevölkerung";626
"2016";"......0009 Mettmenstetten";"Ständige Wohnbevölkerung";4861
"2016";"......0010 Obfelden";"Ständige Wohnbevölkerung";5131
"2016";"......0011 Ottenbach";"Ständige Wohnbevölkerung";2591
"2016";"......0012 Rifferswil";"Ständige Wohnbevölkerung";1078
"2016";"......0013 Stallikon";"Ständige Wohnbevölkerung";3646
"2016";"......0014 Wettswil am Albis";"Ständige Wohnbevölkerung";5123
"2016";">> Bezirk Andelfingen";"Ständige Wohnbevölkerung";30981
"2016";"......0021 Adlikon";"Ständige Wohnbevölkerung";666
"2016";"......0022 Benken (ZH)";"Ständige Wohnbevölkerung";857
"2016";"......0023 Berg am Irchel";"Ständige Wohnbevölkerung";567
"2016";"......0024 Buch am Irchel";"Ständige Wohnbevölkerung";957
"2016";"......0025 Dachsen";"Ständige Wohnbevölkerung";1998
"2016";"......0026 Dorf";"Ständige Wohnbevölkerung";629
"2016";"......0027 Feuerthalen";"Ständige Wohnbevölkerung";3596
"2016";"......0028 Flaach";"Ständige Wohnbevölkerung";1362
"2016";"......0029 Flurlingen";"Ständige Wohnbevölkerung";1434
