HNR;STRBEZ2L;POSTLEITZAHL;ORTBEZ27;GEMEINDENAME;ratio;adr;lon;lat
40;Bodmenstrasse;3910;Saas-Grund;Saas-Grund;2.889830508;Bodmenstrasse+40+3910+Saas-Grund;7.93765;46.1254
7;chemin des Champs-Soleil;2016;Cortaillod;Cortaillod;4.945134576;chemin+des+Champs-Soleil+7+2016+Cortaillod;6.847083;46.948617
234;Soleval;7078;Lenzerheide/Lai;Vaz/Obervaz;0.930455635;Soleval+234+7078+Lenzerheide/Lai;9.558267;46.733967
5;ara Rèssega;6950;Tesserete;Capriasca;2.678701826;ara+Rèssega+5+6950+Tesserete;8.968267;46.070867
7;via Nob. Bosia;6850;Mendrisio;Mendrisio;3.546948357;via+Nob.+Bosia+7+6850+Mendrisio;8.990133;45.8712
8;chemin des Glycines;1273;Arzier-Le Muids;Arzier-Le Muids;2.917869034;chemin+des+Glycines+8+1273+Arzier-Le+Muids;6.21135;46.4542
5;Bächliweg;3417;Rüegsau;Rüegsau;3.431939979;Bächliweg 5 3417 Rüegsau;7.6717;47.025467
7;Via Campo Sportivo;6717;Torre;Blenio;1.299928418;Via Campo Sportivo 7 6717 Torre;8.952367;46.490117
101;Gräubhus;4954;Wyssachen;Wyssachen;3.157024793;Gräubhus 101 4954 Wyssachen;7.818933;47.075183
NA;BK Schneit 832;9650;Nesslau;Nesslau;2.335705045;BK Schneit 832 9650 Nesslau;9.185717;47.22125
175A;Chaspershus;4954;Wyssachen;Wyssachen;3.157024793;Chaspershus 175A 4954 Wyssachen;7.8275;47.067517
25;Mascengo (nucleo);6773;Prato (Leventina);Prato (Leventina);1.487719298;Mascengo (nucleo) 25 6773 Prato (Leventina);8.751233;46.482117
15;Unnerdorfweg;3949;Hohtenn;Steg-Hohtenn;3.462389381;Unnerdorfweg 15 3949 Hohtenn;7.756633;46.317817
549;Pedecosta;7741;S. Carlo (Poschiavo);Poschiavo;2.949916528;Pedecosta 549 7741 S. Carlo (Poschiavo);10.075283;46.3588
22;chemin des Tormes;1885;Chesières;Ollon;2.194501316;chemin des Tormes 22 1885 Chesières;7.038967;46.296767
33;route du Robinson;3977;Granges VS;Sierre;5.725910793;route du Robinson 33 3977 Granges VS;7.4686758;46.2632119
23;via Mario Chiattone;6954;Bigorio;Capriasca;2.678701826;via Mario Chiattone 23 6954 Bigorio;8.95385;46.069583
15;chemin du Poyet;1866;La Forclaz VD;Ormont-Dessous;1.077073171;chemin du Poyet 15 1866 La Forclaz VD;7.0729;46.35015
